,gender,age,marital_status,highest_qualification,nationality,ethnicity,gross_income,region,smoke,amt_weekends,amt_weekdays,type
1,Male,38,Divorced,No Qualification,British,White,"2,600 to 5,200",The North,No,NA,NA,
2,Female,42,Single,No Qualification,British,White,"Under 2,600",The North,Yes,12,12,Packets
3,Male,40,Married,Degree,English,White,"28,600 to 36,400",The North,No,NA,NA,
4,Female,40,Married,Degree,English,White,"10,400 to 15,600",The North,No,NA,NA,
5,Female,39,Married,GCSE/O Level,British,White,"2,600 to 5,200",The North,No,NA,NA,
6,Female,37,Married,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,NA,NA,
7,Male,53,Married,Degree,British,White,"Above 36,400",The North,Yes,6,6,Packets
8,Male,44,Single,Degree,English,White,"10,400 to 15,600",The North,No,NA,NA,
9,Male,40,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,Yes,8,8,Hand-Rolled
10,Female,41,Married,No Qualification,English,White,"5,200 to 10,400",The North,Yes,15,12,Packets
11,Male,72,Widowed,No Qualification,English,White,"10,400 to 15,600",The North,No,NA,NA,
12,Male,49,Married,No Qualification,British,White,Refused,The North,No,NA,NA,
13,Male,29,Married,Degree,English,White,"Above 36,400",The North,No,NA,NA,
14,Female,79,Widowed,No Qualification,English,White,"10,400 to 15,600",The North,No,NA,NA,
15,Male,25,Single,Degree,English,White,"15,600 to 20,800",The North,No,NA,NA,
16,Female,27,Single,Degree,English,White,"15,600 to 20,800",The North,No,NA,NA,
17,Female,30,Single,Degree,English,White,"20,800 to 28,600",The North,No,NA,NA,
18,Male,47,Divorced,No Qualification,British,White,"10,400 to 15,600",The North,No,NA,NA,
19,Female,69,Single,Other/Sub Degree,English,White,"2,600 to 5,200",The North,No,NA,NA,
20,Male,55,Married,No Qualification,English,White,"20,800 to 28,600",The North,No,NA,NA,
21,Female,34,Married,GCSE/CSE,British,White,"2,600 to 5,200",The North,Yes,6,12,Packets
22,Female,36,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,Yes,5,2,Packets
23,Female,56,Married,No Qualification,English,White,"2,600 to 5,200",The North,Yes,20,20,Packets
24,Male,71,Divorced,No Qualification,English,White,Unknown,The North,No,NA,NA,
25,Female,38,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
26,Female,79,Married,No Qualification,English,White,"Under 2,600",The North,No,NA,NA,
27,Female,58,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,Yes,25,20,Packets
28,Female,69,Married,No Qualification,British,White,"Under 2,600",The North,No,NA,NA,
29,Male,83,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,NA,NA,
30,Female,73,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,NA,NA,
31,Female,42,Married,GCSE/O Level,British,White,Refused,The North,Yes,40,15,Packets
